policy,(All),,,,,
losscause_desc,(All),,,,,
,,,,,,
Sum of indemnity_paid,Column Labels,,,,,
TAMPA,,"79,764",,,,"79,764"
FL,,"79,764",,,,"79,764"
31522,,"79,711",,,,"79,711"
BRUNSWICK,,"71,826",,,,"71,826"
GA,,"71,826",,,,"71,826"
SAINT SIMONS ISLAND,,"7,885",,,,"7,885"
GA,,"7,885",,,,"7,885"
70615,,"79,418",,,,"79,418"
LAKE CHARLES,,"79,418",,,,"79,418"
LA,,"79,418",,,,"79,418"
54020,,,,,"79,411","79,411"
OSCEOLA,,,,,"79,411","79,411"
WI,,,,,"79,411","79,411"
95006,,,,"79,035",,"79,035"
BOULDER CREEK,,,,"79,035",,"79,035"
CA,,,,"79,035",,"79,035"
46236,,,,"77,863",,"77,863"
INDIANAPOLIS,,,,"77,863",,"77,863"
IN,,,,"77,863",,"77,863"
33872,,"77,712",,,,"77,712"
SEBRING,,"77,712",,,,"77,712"
FL,,"77,712",,,,"77,712"
39503,,,615,"76,993",,"77,608"
GULFPORT,,,615,"76,993",,"77,608"
MS,,,615,"76,993",,"77,608"
88316,,,"77,058",,,"77,058"
CAPITAN,,,"77,058",,,"77,058"
NM,,,"77,058",,,"77,058"
30683,,"76,779",,,,"76,779"
WINTERVILLE,,"76,779",,,,"76,779"
GA,,"76,779",,,,"76,779"
46614,,,"76,403",,,"76,403"
SOUTH BEND,,,"76,403",,,"76,403"
IN,,,"76,403",,,"76,403"
85321,,"36,000","40,000",,,"76,000"
AJO,,"36,000","40,000",,,"76,000"
AZ,,"36,000","40,000",,,"76,000"
83805,,,"75,500",,,"75,500"
BONNERS FERRY,,,"75,500",,,"75,500"
ID,,,"75,500",,,"75,500"
88101,"47,600","27,676",,,,"75,276"
CLOVIS,"47,600","27,676",,,,"75,276"
NM,"47,600","27,676",,,,"75,276"
74820,,,"75,000",,,"75,000"
ADA,,,"75,000",,,"75,000"
OK,,,"75,000",,,"75,000"
75937,,,"75,000",,,"75,000"
CHIRENO,,,"75,000",,,"75,000"
TX,,,"75,000",,,"75,000"
77051,,,"75,000",,,"75,000"
HOUSTON,,,"75,000",,,"75,000"
TX,,,"75,000",,,"75,000"
35045,"74,826",,,,,"74,826"
CLANTON,"74,826",,,,,"74,826"
AL,"74,826",,,,,"74,826"
53181,,,"74,043",,,"74,043"
TWIN LAKES,,,"74,043",,,"74,043"
WI,,,"74,043",,,"74,043"
33184,,,"72,109",,,"72,109"
MIAMI,,,"72,109",,,"72,109"
FL,,,"72,109",,,"72,109"
98223,,"72,039",,,,"72,039"
ARLINGTON,,"72,039",,,,"72,039"
WA,,"72,039",,,,"72,039"
79104,,,"71,562",,,"71,562"
AMARILLO,,,"71,562",,,"71,562"
TX,,,"71,562",,,"71,562"
85255,,"70,735",,,,"70,735"
SCOTTSDALE,,"70,735",,,,"70,735"
AZ,,"70,735",,,,"70,735"
76010,,"70,504",,,,"70,504"
ARLINGTON,,"70,504",,,,"70,504"
TX,,"70,504",,,,"70,504"
6354,,,,"70,450",,"70,450"
MOOSUP,,,,"70,450",,"70,450"
CT,,,,"70,450",,"70,450"
88240,,,,"70,000",,"70,000"
HOBBS,,,,"70,000",,"70,000"
NM,,,,"70,000",,"70,000"
60140,,,,,"70,000","70,000"
HAMPSHIRE,,,,,"70,000","70,000"
IL,,,,,"70,000","70,000"
24966,,"70,000",,,,"70,000"
RENICK,,"70,000",,,,"70,000"
WV,,"70,000",,,,"70,000"
36618,,,,"69,827",,"69,827"
MOBILE,,,,"69,827",,"69,827"
AL,,,,"69,827",,"69,827"
19143,,,,"69,126",,"69,126"
PHILADELPHIA,,,,"69,126",,"69,126"
PA,,,,"69,126",,"69,126"
8203,"68,947",,,,,"68,947"
BRIGANTINE,"68,947",,,,,"68,947"
NJ,"68,947",,,,,"68,947"
95446,,,,"68,632",,"68,632"
GUERNEVILLE,,,,"68,632",,"68,632"
CA,,,,"68,632",,"68,632"
15610,,,,"68,573",,"68,573"
ACME,,,,"68,573",,"68,573"
PA,,,,"68,573",,"68,573"
78576,"68,281",,,,,"68,281"
PENITAS,"68,281",,,,,"68,281"
TX,"68,281",,,,,"68,281"
31707,"68,200",,,,,"68,200"
ALBANY,"68,200",,,,,"68,200"
GA,"68,200",,,,,"68,200"
71105,,,,"6,517","61,363","67,880"
SHREVEPORT,,,,"6,517","61,363","67,880"
LA,,,,"6,517","61,363","67,880"
35206,0,,"67,853",,,"67,853"
BIRMINGHAM,0,,"67,853",,,"67,853"
AL,0,,"67,853",,,"67,853"
99006,,"67,800",,,,"67,800"
DEER PARK,,"67,800",,,,"67,800"
WA,,"67,800",,,,"67,800"
4005,,,,"67,455",,"67,455"
BIDDEFORD,,,,"67,455",,"67,455"
ME,,,,"67,455",,"67,455"
33026,,,,,"67,050","67,050"
HOLLYWOOD,,,,,"67,050","67,050"
FL,,,,,"67,050","67,050"
33472,,,,"67,029",,"67,029"
BOYNTON BEACH,,,,"67,029",,"67,029"
FL,,,,"67,029",,"67,029"
53206,,"34,949","31,863",,,"66,812"
MILWAUKEE,,"34,949","31,863",,,"66,812"
WI,,"34,949","31,863",,,"66,812"
95942,"36,309","30,491",,,,"66,800"
FOREST RANCH,"36,309","30,491",,,,"66,800"
CA,"36,309","30,491",,,,"66,800"
80421,,"66,618",,,,"66,618"
BAILEY,,"66,618",,,,"66,618"
CO,,"66,618",,,,"66,618"
98922,,,,"66,089",,"66,089"
CLE ELUM,,,,"66,089",,"66,089"
WA,,,,"66,089",,"66,089"
85361,,,,,"65,000","65,000"
WITTMANN,,,,,"65,000","65,000"
AZ,,,,,"65,000","65,000"
39562,,"38,219","1,725","24,332",,"64,277"
MOSS POINT,,"38,219","1,725","24,332",,"64,277"
MS,,"38,219","1,725","24,332",,"64,277"
36460,,,,"64,232",,"64,232"
MONROEVILLE,,,,"64,232",,"64,232"
AL,,,,"64,232",,"64,232"
66023,,,,,"63,329","63,329"
EFFINGHAM,,,,,"63,329","63,329"
KS,,,,,"63,329","63,329"
28078,,"63,029",,,,"63,029"
HUNTERSVILLE,,"63,029",,,,"63,029"
NC,,"63,029",,,,"63,029"
59921,,"63,000",,,,"63,000"
WEST GLACIER,,"63,000",,,,"63,000"
MT,,"63,000",,,,"63,000"
91344,,,"62,660",,,"62,660"
GRANADA HILLS,,,"62,660",,,"62,660"
CA,,,"62,660",,,"62,660"
23607,,,,"62,550",,"62,550"
NEWPORT NEWS,,,,"62,550",,"62,550"
VA,,,,"62,550",,"62,550"
7108,,,"62,000",,,"62,000"
NEWARK,,,"62,000",,,"62,000"
NJ,,,"62,000",,,"62,000"
35802,,"61,354",,,,"61,354"
HUNTSVILLE,,"61,354",,,,"61,354"
AL,,"61,354",,,,"61,354"
29303,"61,353",,,,,"61,353"
SPARTANBURG,"61,353",,,,,"61,353"
SC,"61,353",,,,,"61,353"
77905,,,,"60,500",,"60,500"
VICTORIA,,,,"60,500",,"60,500"
TX,,,,"60,500",,"60,500"
99403,"60,000",,,,,"60,000"
CLARKSTON,"60,000",,,,,"60,000"
WA,"60,000",,,,,"60,000"
83650,,"60,000",,,,"60,000"
SILVER CITY,,"60,000",,,,"60,000"
ID,,"60,000",,,,"60,000"
75426,,"60,000",,,,"60,000"
CLARKSVILLE,,"60,000",,,,"60,000"
TX,,"60,000",,,,"60,000"
82435,,,"60,000",,,"60,000"
POWELL,,,"60,000",,,"60,000"
WY,,,"60,000",,,"60,000"
46514,,"60,000",,,,"60,000"
ELKHART,,"60,000",,,,"60,000"
IN,,"60,000",,,,"60,000"
36693,0,,"60,000",,,"60,000"
MOBILE,0,,"60,000",,,"60,000"
AL,0,,"60,000",,,"60,000"
59404,,,,"60,000",,"60,000"
GREAT FALLS,,,,"60,000",,"60,000"
MT,,,,"60,000",,"60,000"
95450,,,,"59,932",,"59,932"
JENNER,,,,"59,932",,"59,932"
CA,,,,"59,932",,"59,932"
72801,"59,892",,,,,"59,892"
RUSSELLVILLE,"59,892",,,,,"59,892"
AR,"59,892",,,,,"59,892"
8723,,,"59,396",,,"59,396"
BRICK,,,"59,396",,,"59,396"
NJ,,,"59,396",,,"59,396"
64052,,"59,386",,,,"59,386"
INDEPENDENCE,,"59,386",,,,"59,386"
MO,,"59,386",,,,"59,386"
98311,,"59,248",,,,"59,248"
BREMERTON,,"59,248",,,,"59,248"
WA,,"59,248",,,,"59,248"
77058,,,,,"59,000","59,000"
HOUSTON,,,,,"59,000","59,000"
TX,,,,,"59,000","59,000"
84542,,,"58,885",,,"58,885"
WELLINGTON,,,"58,885",,,"58,885"
UT,,,"58,885",,,"58,885"
78332,,"58,651",,,,"58,651"
ALICE,,"58,651",,,,"58,651"
TX,,"58,651",,,,"58,651"
36526,,,,"58,616",,"58,616"
DAPHNE,,,,"58,616",,"58,616"
AL,,,,"58,616",,"58,616"
30701,,,"58,200",,,"58,200"
CALHOUN,,,"58,200",,,"58,200"
GA,,,"58,200",,,"58,200"
59457,"57,600",,,,,"57,600"
LEWISTOWN,"57,600",,,,,"57,600"
MT,"57,600",,,,,"57,600"
31323,,"56,955",,,,"56,955"
RICEBORO,,"56,955",,,,"56,955"
GA,,"56,955",,,,"56,955"
33177,"1,692",,"55,035",,,"56,726"
MIAMI,"1,692",,"55,035",,,"56,726"
FL,"1,692",,"55,035",,,"56,726"
33301,,,,"56,416",,"56,416"
FORT LAUDERDALE,,,,"56,416",,"56,416"
FL,,,,"56,416",,"56,416"
35988,"55,994",,,,,"55,994"
SYLVANIA,"55,994",,,,,"55,994"
AL,"55,994",,,,,"55,994"
7208,,,,,"55,424","55,424"
ELIZABETH,,,,,"55,424","55,424"
NJ,,,,,"55,424","55,424"
39466,,"39,530",0,"15,711",,"55,241"
PICAYUNE,,"39,530",0,"15,711",,"55,241"
MS,,"39,530",0,"15,711",,"55,241"
77515,"54,360",,,,,"54,360"
ANGLETON,"54,360",,,,,"54,360"
TX,"54,360",,,,,"54,360"
99202,,"53,995",,,,"53,995"
SPOKANE,,"53,995",,,,"53,995"
WA,,"53,995",,,,"53,995"
30286,,,"53,445",,,"53,445"
THOMASTON,,,"53,445",,,"53,445"
GA,,,"53,445",,,"53,445"
63863,,"52,500",,,,"52,500"
MALDEN,,"52,500",,,,"52,500"
MO,,"52,500",,,,"52,500"
65536,"52,000",,,,,"52,000"
LEBANON,"52,000",,,,,"52,000"
MO,"52,000",,,,,"52,000"
46041,,"51,780",,,,"51,780"
FRANKFORT,,"51,780",,,,"51,780"
IN,,"51,780",,,,"51,780"
77565,,,,"51,078",,"51,078"
KEMAH,,,,"51,078",,"51,078"
TX,,,,"51,078",,"51,078"
1970,,,,"50,524",,"50,524"
SALEM,,,,"50,524",,"50,524"
MA,,,,"50,524",,"50,524"
77033,,,"50,358",,,"50,358"
HOUSTON,,,"50,358",,,"50,358"
TX,,,"50,358",,,"50,358"
39056,,"50,236",,,,"50,236"
CLINTON,,"50,236",,,,"50,236"
MS,,"50,236",,,,"50,236"
79201,,"50,060",,,,"50,060"
CHILDRESS,,"50,060",,,,"50,060"
TX,,"50,060",,,,"50,060"
97415,"50,000",,,,,"50,000"
BROOKINGS,"50,000",,,,,"50,000"
OR,"50,000",,,,,"50,000"
85306,,,"50,000",,,"50,000"
GLENDALE,,,"50,000",,,"50,000"
AZ,,,"50,000",,,"50,000"
73729,,,"50,000",,,"50,000"
CLEO SPRINGS,,,"50,000",,,"50,000"
OK,,,"50,000",,,"50,000"
62204,,,,"50,000",,"50,000"
EAST SAINT LOUIS,,,,"50,000",,"50,000"
IL,,,,"50,000",,"50,000"
35205,,,"50,000",,,"50,000"
BIRMINGHAM,,,"50,000",,,"50,000"
AL,,,"50,000",,,"50,000"
77627,0,,"49,307",,,"49,307"
NEDERLAND,0,,"49,307",,,"49,307"
TX,0,,"49,307",,,"49,307"
60402,,,"48,696",,,"48,696"
BERWYN,,,"48,696",,,"48,696"
IL,,,"48,696",,,"48,696"
75229,,,"48,432",,,"48,432"
DALLAS,,,"48,432",,,"48,432"
TX,,,"48,432",,,"48,432"
43125,,"48,381",,,,"48,381"
GROVEPORT,,"48,381",,,,"48,381"
OH,,"48,381",,,,"48,381"
88353,,"48,240",,,,"48,240"
VAUGHN,,"48,240",,,,"48,240"
NM,,"48,240",,,,"48,240"
52224,"48,000",,,,,"48,000"
DYSART,"48,000",,,,,"48,000"
IA,"48,000",,,,,"48,000"
99341,,"47,800",,,,"47,800"
LIND,,"47,800",,,,"47,800"
WA,,"47,800",,,,"47,800"
77373,,,,"47,242",,"47,242"
"SPRING, HARRIS CO.",,,,"47,242",,"47,242"
TX,,,,"47,242",,"47,242"
30741,,0,,"47,124",,"47,124"
ROSSVILLE,,0,,"47,124",,"47,124"
GA,,0,,"47,124",,"47,124"
76233,,,"46,994",,,"46,994"
COLLINSVILLE,,,"46,994",,,"46,994"
TX,,,"46,994",,,"46,994"
83236,"46,852",,,,,"46,852"
FIRTH,"46,852",,,,,"46,852"
ID,"46,852",,,,,"46,852"
70117,"30,025",725,,"16,024",,"46,774"
NEW ORLEANS,"30,025",725,,"16,024",,"46,774"
LA,"30,025",725,,"16,024",,"46,774"
33020,,"28,499",,0,"18,244","46,743"
HOLLYWOOD,,"28,499",,0,"18,244","46,743"
FL,,"28,499",,0,"18,244","46,743"
55920,,"46,731",,,,"46,731"
BYRON,,"46,731",,,,"46,731"
MN,,"46,731",,,,"46,731"
33033,,"46,541",,,,"46,541"
HOMESTEAD,,"46,541",,,,"46,541"
FL,,"46,541",,,,"46,541"
85008,,,"46,436",,,"46,436"
PHOENIX,,,"46,436",,,"46,436"
AZ,,,"46,436",,,"46,436"
98366,,,"46,160",,,"46,160"
PORT ORCHARD,,,"46,160",,,"46,160"
WA,,,"46,160",,,"46,160"
8751,,,,"37,853","8,113","45,965"
SEASIDE HEIGHTS,,,,,"8,113","8,113"
NJ,,,,,"8,113","8,113"
SEASIDE HGTS,,,,"37,853",,"37,853"
NJ,,,,"37,853",,"37,853"
28384,,,,"45,881",,"45,881"
SAINT PAULS,,,,"45,881",,"45,881"
NC,,,,"45,881",,"45,881"
86301,,,,"45,596",,"45,596"
PRESCOTT,,,,"45,596",,"45,596"
AZ,,,,"45,596",,"45,596"
70065,"14,951","27,018",,"3,559",0,"45,529"
KENNER,"14,951","27,018",,"3,559",0,"45,529"
LA,"14,951","27,018",,"3,559",0,"45,529"
23704,,"11,057",,,"34,281","45,338"
PORTSMOUTH,,"11,057",,,"34,281","45,338"
VA,,"11,057",,,"34,281","45,338"
95991,"45,000",,,,,"45,000"
YUBA CITY,"45,000",,,,,"45,000"
CA,"45,000",,,,,"45,000"
81152,"45,000",,,,,"45,000"
GARCIA,"45,000",,,,,"45,000"
CO,"45,000",,,,,"45,000"
77302,,,"45,000",,,"45,000"
CONROE,,,"45,000",,,"45,000"
TX,,,"45,000",,,"45,000"
36529,,"45,000",,,,"45,000"
DEER PARK,,"45,000",,,,"45,000"
AL,,"45,000",,,,"45,000"
38106,"45,000",,,,,"45,000"
MEMPHIS,"45,000",,,,,"45,000"
TN,"45,000",,,,,"45,000"
28544,,"44,233",,,,"44,233"
MIDWAY PARK,,"44,233",,,,"44,233"
NC,,"44,233",,,,"44,233"
83334,"44,167",,,,,"44,167"
HANSEN,"44,167",,,,,"44,167"
ID,"44,167",,,,,"44,167"
89021,,,"44,000",,,"44,000"
LOGANDALE,,,"44,000",,,"44,000"
NV,,,"44,000",,,"44,000"
99022,,,,"39,646","4,126","43,773"
MEDICAL LAKE,,,,"39,646","4,126","43,773"
WA,,,,"39,646","4,126","43,773"
28405,,,,,"43,597","43,597"
WILMINGTON,,,,,"43,597","43,597"
NC,,,,,"43,597","43,597"
97350,,,,"43,441",,"43,441"
IDANHA,,,,"43,441",,"43,441"
OR,,,,"43,441",,"43,441"
36542,,"33,947","8,404",,,"42,352"
GULF SHORES,,"33,947","8,404",,,"42,352"
AL,,"33,947","8,404",,,"42,352"
79603,,,,,"42,203","42,203"
"ABILENE, TAYLOR CO.",,,,,"42,203","42,203"
TX,,,,,"42,203","42,203"
33125,"42,165",,,,,"42,165"
MIAMI,"42,165",,,,,"42,165"
FL,"42,165",,,,,"42,165"
59032,,,,"42,000",,"42,000"
GRASS RANGE,,,,"42,000",,"42,000"
MT,,,,"42,000",,"42,000"
33014,"24,099",,,"17,898",,"41,997"
HIALEAH,"24,099",,,"17,898",,"41,997"
FL,"24,099",,,"17,898",,"41,997"
87059,"41,616",,,,,"41,616"
TIJERAS,"41,616",,,,,"41,616"
NM,"41,616",,,,,"41,616"
75115,"41,250",,,,,"41,250"
DESOTO,"41,250",,,,,"41,250"
TX,"41,250",,,,,"41,250"
36606,,"7,000","5,971","26,062","1,642","40,675"
MOBILE,,"7,000","5,971","26,062","1,642","40,675"
AL,,"7,000","5,971","26,062","1,642","40,675"
34668,"40,355",,,,,"40,355"
PORT RICHEY,"40,355",,,,,"40,355"
FL,"40,355",,,,,"40,355"
79601,"40,179",,,,,"40,179"
ABILENE,"40,179",,,,,"40,179"
TX,"40,179",,,,,"40,179"
70805,,,,,"40,158","40,158"
BATON ROUGE,,,,,"40,158","40,158"
LA,,,,,"40,158","40,158"
98951,,"40,000",,,,"40,000"
WAPATO,,"40,000",,,,"40,000"
WA,,"40,000",,,,"40,000"
31405,,,"40,000",,,"40,000"
SAVANNAH,,,"40,000",,,"40,000"
GA,,,"40,000",,,"40,000"
29545,,,,"40,000",,"40,000"
GREEN SEA,,,,"40,000",,"40,000"
SC,,,,"40,000",,"40,000"
33936,,,,"39,889",,"39,889"
LEHIGH,,,,"39,889",,"39,889"
FL,,,,"39,889",,"39,889"
30802,"39,844",,,,,"39,844"
APPLING,"39,844",,,,,"39,844"
GA,"39,844",,,,,"39,844"
86441,,,,,"39,327","39,327"
DOLAN SPRINGS,,,,,"39,327","39,327"
AZ,,,,,"39,327","39,327"
37209,,,"38,820",,,"38,820"
NASHVILLE,,,"38,820",,,"38,820"
TN,,,"38,820",,,"38,820"
31634,,,"38,603",,,"38,603"
HOMERVILLE,,,"38,603",,,"38,603"
GA,,,"38,603",,,"38,603"
38357,"38,508",,,,,"38,508"
MICHIE,"38,508",,,,,"38,508"
TN,"38,508",,,,,"38,508"
33012,,,"19,600","18,608",,"38,208"
HIALEAH,,,"19,600","18,608",,"38,208"
FL,,,"19,600","18,608",,"38,208"
36518,,,"38,000",,,"38,000"
CHATOM,,,"38,000",,,"38,000"
AL,,,"38,000",,,"38,000"
30238,,,,"38,000",,"38,000"
JONESBORO,,,,"38,000",,"38,000"
GA,,,,"38,000",,"38,000"
77024,,"37,949",,,,"37,949"
HOUSTON,,"37,949",,,,"37,949"
TX,,"37,949",,,,"37,949"
59840,,"25,550","12,166",,,"37,715"
HAMILTON,,"25,550","12,166",,,"37,715"
MT,,"25,550","12,166",,,"37,715"
77706,,,,"37,321",,"37,321"
BEAUMONT,,,,"37,321",,"37,321"
TX,,,,"37,321",,"37,321"
30016,,"37,316",,,,"37,316"
COVINGTON,,"37,316",,,,"37,316"
GA,,"37,316",,,,"37,316"
85268,"37,296",,,,,"37,296"
FOUNTAIN HILLS,"37,296",,,,,"37,296"
AZ,"37,296",,,,,"37,296"
81092,,,,,"37,000","37,000"
WILEY,,,,,"37,000","37,000"
CO,,,,,"37,000","37,000"
33023,,"37,000",,,,"37,000"
MIRAMAR,,"37,000",,,,"37,000"
FL,,"37,000",,,,"37,000"
77013,,,,"36,720",,"36,720"
HOUSTON,,,,"36,720",,"36,720"
TX,,,,"36,720",,"36,720"
30032,"36,500",,,,,"36,500"
DECATUR,"36,500",,,,,"36,500"
GA,"36,500",,,,,"36,500"
8854,"26,312",,,,"9,570","35,882"
PISCATAWAY,"26,312",,,,"9,570","35,882"
NJ,"26,312",,,,"9,570","35,882"
29564,,,"35,821",,,"35,821"
LANE,,,"35,821",,,"35,821"
SC,,,"35,821",,,"35,821"
77039,,"35,736",,,,"35,736"
HOUSTON,,"35,736",,,,"35,736"
TX,,"35,736",,,,"35,736"
64836,,,,"35,700",,"35,700"
CARTHAGE,,,,"35,700",,"35,700"
MO,,,,"35,700",,"35,700"
8079,,,,,"35,481","35,481"
SALEM,,,,,"35,481","35,481"
NJ,,,,,"35,481","35,481"
28390,,,,,"35,334","35,334"
SPRING LAKE,,,,,"35,334","35,334"
NC,,,,,"35,334","35,334"
75929,"35,276",,,,,"35,276"
BROADDUS,"35,276",,,,,"35,276"
TX,"35,276",,,,,"35,276"
31061,,"35,170",,,,"35,170"
MILLEDGEVILLE,,"35,170",,,,"35,170"
GA,,"35,170",,,,"35,170"
38843,"35,000",,,,,"35,000"
FULTON,"35,000",,,,,"35,000"
MS,"35,000",,,,,"35,000"
30153,"35,000",,,,,"35,000"
ROCKMART,"35,000",,,,,"35,000"
GA,"35,000",,,,,"35,000"
30901,,"35,000",,,,"35,000"
AUGUSTA,,"35,000",,,,"35,000"
GA,,"35,000",,,,"35,000"
99109,,"34,345",,,,"34,345"
CHEWELAH,,"34,345",,,,"34,345"
WA,,"34,345",,,,"34,345"
35211,,,,"34,331",,"34,331"
BIRMINGHAM,,,,"34,331",,"34,331"
AL,,,,"34,331",,"34,331"
36530,,,,,"34,215","34,215"
ELBERTA,,,,,"34,215","34,215"
AL,,,,,"34,215","34,215"
81004,"17,300","1,178",,"15,728",,"34,205"
PUEBLO,"17,300","1,178",,"15,728",,"34,205"
CO,"17,300","1,178",,"15,728",,"34,205"
6790,,,"34,002",,,"34,002"
TORRINGTON,,,"34,002",,,"34,002"
CT,,,"34,002",,,"34,002"
59601,"34,000",,,,,"34,000"
HELENA,"34,000",,,,,"34,000"
MT,"34,000",,,,,"34,000"
74401,"33,999",,,,,"33,999"
MUSKOGEE,"33,999",,,,,"33,999"
OK,"33,999",,,,,"33,999"
97635,,,,,"33,899","33,899"
NEW PINE CREEK,,,,,"33,899","33,899"
OR,,,,,"33,899","33,899"
75125,,,,,"33,588","33,588"
FERRIS,,,,,"33,588","33,588"
TX,,,,,"33,588","33,588"
87942,,"33,409",,,,"33,409"
WILLIAMSBURG,,"33,409",,,,"33,409"
NM,,"33,409",,,,"33,409"
83619,"33,000",,,,,"33,000"
FRUITLAND,"33,000",,,,,"33,000"
ID,"33,000",,,,,"33,000"
8302,,"32,725",,,,"32,725"
BRIDGETON,,"32,725",,,,"32,725"
NJ,,"32,725",,,,"32,725"
98550,,"32,665",,,,"32,665"
HOQUIAM,,"32,665",,,,"32,665"
WA,,"32,665",,,,"32,665"
98944,,,"8,604",,"23,947","32,551"
SUNNYSIDE,,,"8,604",,"23,947","32,551"
WA,,,"8,604",,"23,947","32,551"
33434,,"32,448",,,,"32,448"
BOCA RATON,,"32,448",,,,"32,448"
FL,,"32,448",,,,"32,448"
76028,,,,,"32,191","32,191"
BURLESON,,,,,"32,191","32,191"
TX,,,,,"32,191","32,191"
97266,,,,,"32,168","32,168"
PORTLAND,,,,,"32,168","32,168"
OR,,,,,"32,168","32,168"
29464,,,"32,104",,,"32,104"
MOUNT PLEASANT,,,"32,104",,,"32,104"
SC,,,"32,104",,,"32,104"
33144,,,"31,918",,,"31,918"
MIAMI,,,"21,509",,,"21,509"
FL,,,"21,509",,,"21,509"
WEST MIAMI,,,"10,409",,,"10,409"
FL,,,"10,409",,,"10,409"
89109,,"31,833",,,,"31,833"
LAS VEGAS,,"31,833",,,,"31,833"
NV,,"31,833",,,,"31,833"
21216,"31,391",,,,,"31,391"
BALTIMORE,"31,391",,,,,"31,391"
MD,"31,391",,,,,"31,391"
80439,,,,"31,314",,"31,314"
EVERGREEN,,,,"31,314",,"31,314"
CO,,,,"31,314",,"31,314"
63121,,"31,243",,,,"31,243"
SAINT LOUIS,,"31,243",,,,"31,243"
MO,,"31,243",,,,"31,243"
31803,,,,"31,200",,"31,200"
BUENA VISTA,,,,"31,200",,"31,200"
GA,,,,"31,200",,"31,200"
30501,,,"31,000",,,"31,000"
GAINESVILLE,,,"31,000",,,"31,000"
GA,,,"31,000",,,"31,000"
76119,,"30,936",,,,"30,936"
FORT WORTH,,"30,936",,,,"30,936"
TX,,"30,936",,,,"30,936"
33771,"7,034",,,"23,702",,"30,736"
LARGO,"7,034",,,"23,702",,"30,736"
FL,"7,034",,,"23,702",,"30,736"
92404,"30,735",,,,,"30,735"
SAN BERNARDINO,"30,735",,,,,"30,735"
CA,"30,735",,,,,"30,735"
97914,"30,547",,,,,"30,547"
ONTARIO,"30,547",,,,,"30,547"
OR,"30,547",,,,,"30,547"
60714,"30,037",,,,,"30,037"
NILES,"30,037",,,,,"30,037"
IL,"30,037",,,,,"30,037"
31204,"30,018",,,,,"30,018"
MACON,"30,018",,,,,"30,018"
GA,"30,018",,,,,"30,018"
85603,"30,000",,,,,"30,000"
BISBEE,"30,000",,,,,"30,000"
AZ,"30,000",,,,,"30,000"
31705,,"30,000",,,,"30,000"
ALBANY,,"30,000",,,,"30,000"
GA,,"30,000",,,,"30,000"
77486,"29,979",,,,,"29,979"
WEST COLUMBIA,"29,979",,,,,"29,979"
TX,"29,979",,,,,"29,979"
75227,,"29,653",,,,"29,653"
DALLAS,,"29,653",,,,"29,653"
TX,,"29,653",,,,"29,653"
6385,"29,627",,,,,"29,627"
WATERFORD,"29,627",,,,,"29,627"
CT,"29,627",,,,,"29,627"
8087,,,,"29,345",,"29,345"
TUCKERTON,,,,"29,345",,"29,345"
NJ,,,,"29,345",,"29,345"
77020,,,,,"29,295","29,295"
HOUSTON,,,,,"29,295","29,295"
TX,,,,,"29,295","29,295"
45804,,,"29,047",,,"29,047"
LIMA,,,"29,047",,,"29,047"
OH,,,"29,047",,,"29,047"
23111,,,"29,010",,,"29,010"
MECHANICSVILLE,,,"29,010",,,"29,010"
VA,,,"29,010",,,"29,010"
4849,,,,"29,000",,"29,000"
NORTHPORT,,,,"29,000",,"29,000"
ME,,,,"29,000",,"29,000"
39531,,,,"28,866",,"28,866"
BILOXI,,,,"28,866",,"28,866"
MS,,,,"28,866",,"28,866"
95935,,"28,853",,,,"28,853"
DOBBINS,,"28,853",,,,"28,853"
CA,,"28,853",,,,"28,853"
88043,,"28,800",,,,"28,800"
HURLEY,,"28,800",,,,"28,800"
NM,,"28,800",,,,"28,800"
70131,"28,748",,,,,"28,748"
NEW ORLEANS,"28,748",,,,,"28,748"
LA,"28,748",,,,,"28,748"
36340,,"28,690",,,,"28,690"
GENEVA,,"28,690",,,,"28,690"
AL,,"28,690",,,,"28,690"
35601,,"28,582",,,,"28,582"
DECATUR,,"28,582",,,,"28,582"
AL,,"28,582",,,,"28,582"
19968,,,"28,388",,,"28,388"
MILTON,,,"28,388",,,"28,388"
DE,,,"28,388",,,"28,388"
97023,,,,"28,206",,"28,206"
ESTACADA,,,,"28,206",,"28,206"
OR,,,,"28,206",,"28,206"
43081,,"28,000",,,,"28,000"
WESTERVILLE,,"28,000",,,,"28,000"
OH,,"28,000",,,,"28,000"
31603,,,,"28,000",,"28,000"
VALDOSTA,,,,"28,000",,"28,000"
GA,,,,"28,000",,"28,000"
59101,,,,"27,993",,"27,993"
BILLINGS,,,,"27,993",,"27,993"
MT,,,,"27,993",,"27,993"
77531,,,,"27,864",0,"27,864"
CLUTE,,,,,0,0
TX,,,,,0,0
RICHWOOD,,,,"27,864",,"27,864"
TX,,,,"27,864",,"27,864"
29536,"8,083","19,656",,,,"27,739"
DILLON,"8,083","19,656",,,,"27,739"
SC,"8,083","19,656",,,,"27,739"
33134,,,,,"27,600","27,600"
CORAL GABLES,,,,,"27,600","27,600"
FL,,,,,"27,600","27,600"
87740,,"27,398",,,,"27,398"
RATON,,"27,398",,,,"27,398"
NM,,"27,398",,,,"27,398"
77713,,"27,344",,,,"27,344"
BEAUMONT,,"27,344",,,,"27,344"
TX,,"27,344",,,,"27,344"
39426,,"27,278",,,,"27,278"
