policy,(All),,,,,
losscause_desc,(All),,,,,
,,,,,,
Sum of indemnity_paid,Column Labels,,,,,
NJ,,"270,232",,,,"270,232"
33309,,,"168,228","101,938",,"270,166"
FORT LAUDERDALE,,,"168,228","101,938",,"270,166"
FL,,,"168,228","101,938",,"270,166"
86320,,,"267,738",,,"267,738"
ASH FORK,,,"267,738",,,"267,738"
AZ,,,"267,738",,,"267,738"
95983,,,"264,500",,,"264,500"
TAYLORSVILLE,,,"264,500",,,"264,500"
CA,,,"264,500",,,"264,500"
29516,,,"260,305",,,"260,305"
BLENHEIM,,,"260,305",,,"260,305"
SC,,,"260,305",,,"260,305"
77471,"258,988",,,,,"258,988"
ROSENBERG,"258,988",,,,,"258,988"
TX,"258,988",,,,,"258,988"
33160,,,,,"258,920","258,920"
SUNNY ISLES BEACH,,,,,"258,920","258,920"
FL,,,,,"258,920","258,920"
55420,,"258,262",,,,"258,262"
BLOOMINGTON,,"258,262",,,,"258,262"
MN,,"258,262",,,,"258,262"
29625,,,"257,837",,,"257,837"
ANDERSON,,,"257,837",,,"257,837"
SC,,,"257,837",,,"257,837"
95605,,,"256,610",,,"256,610"
RIVER BANK,,,"256,610",,,"256,610"
CA,,,"256,610",,,"256,610"
6604,,,,,"255,979","255,979"
BRIDGEPORT,,,,,"255,979","255,979"
CT,,,,,"255,979","255,979"
70501,,,"255,511",,,"255,511"
LAFAYETTE,,,"255,511",,,"255,511"
LA,,,"255,511",,,"255,511"
85037,,"254,909",,,,"254,909"
PHOENIX,,"254,909",,,,"254,909"
AZ,,"254,909",,,,"254,909"
90049,,,"254,335",,,"254,335"
LOS ANGELES,,,"254,335",,,"254,335"
CA,,,"254,335",,,"254,335"
11722,,,,,"254,204","254,204"
CENTRAL ISLIP,,,,,"254,204","254,204"
NY,,,,,"254,204","254,204"
7734,,,"253,958",,,"253,958"
KEANSBURG,,,"253,958",,,"253,958"
NJ,,,"253,958",,,"253,958"
33189,,,,,"253,292","253,292"
CUTLER BAY,,,,,"253,292","253,292"
FL,,,,,"253,292","253,292"
39563,"49,671",,,"201,000",,"250,671"
MOSS POINT,"49,671",,,"201,000",,"250,671"
MS,"49,671",,,"201,000",,"250,671"
77056,,,,"249,023",,"249,023"
HOUSTON,,,,"249,023",,"249,023"
TX,,,,"249,023",,"249,023"
93023,"248,460",,,,,"248,460"
OJAI,"248,460",,,,,"248,460"
CA,"248,460",,,,,"248,460"
75601,,,,"247,469",,"247,469"
LONGVIEW,,,,"247,469",,"247,469"
TX,,,,"247,469",,"247,469"
55412,,"246,551",,,,"246,551"
MINNEAPOLIS,,"246,551",,,,"246,551"
MN,,"246,551",,,,"246,551"
77072,,,,,"245,387","245,387"
HOUSTON,,,,,"245,387","245,387"
TX,,,,,"245,387","245,387"
74701,,"244,708",,,,"244,708"
DURANT,,"244,708",,,,"244,708"
OK,,"244,708",,,,"244,708"
32526,"244,490",,,,,"244,490"
PENSACOLA,"244,490",,,,,"244,490"
FL,"244,490",,,,,"244,490"
97413,,,,"242,225",,"242,225"
BLUE RIVER,,,,"242,225",,"242,225"
OR,,,,"242,225",,"242,225"
74074,,"240,000",,,,"240,000"
STILLWATER,,"240,000",,,,"240,000"
OK,,"240,000",,,,"240,000"
11977,"239,980",,,,,"239,980"
WESTHAMPTON,"239,980",,,,,"239,980"
NY,"239,980",,,,,"239,980"
35085,"238,000",,,,,"238,000"
JEMISON,"238,000",,,,,"238,000"
AL,"238,000",,,,,"238,000"
74352,,,"235,231",,,"235,231"
LOCUST GROVE,,,"235,231",,,"235,231"
OK,,,"235,231",,,"235,231"
14303,,,,,"235,101","235,101"
NIAGARA FALLS,,,,,"235,101","235,101"
NY,,,,,"235,101","235,101"
95595,"234,224",,,,,"234,224"
ZENIA,"234,224",,,,,"234,224"
CA,"234,224",,,,,"234,224"
47842,,,"233,847",,,"233,847"
CLINTON,,,"233,847",,,"233,847"
IN,,,"233,847",,,"233,847"
36420,"233,289",,,,,"233,289"
ANDALUSIA,"233,289",,,,,"233,289"
AL,"233,289",,,,,"233,289"
90046,"229,724",,,,,"229,724"
LOS ANGELES,"229,724",,,,,"229,724"
CA,"229,724",,,,,"229,724"
29118,"229,701",,,,,"229,701"
ORANGEBURG,"229,701",,,,,"229,701"
SC,"229,701",,,,,"229,701"
39581,,,"227,500",,,"227,500"
PASCAGOULA,,,"227,500",,,"227,500"
MS,,,"227,500",,,"227,500"
8088,,"226,254",,,,"226,254"
SOUTHAMPTON,,"226,254",,,,"226,254"
NJ,,"226,254",,,,"226,254"
70084,,,,,"224,286","224,286"
RESERVE,,,,,"224,286","224,286"
LA,,,,,"224,286","224,286"
8852,,,,"220,271",,"220,271"
MONMOUTH JCTN,,,,"220,271",,"220,271"
NJ,,,,"220,271",,"220,271"
71457,,,"218,800",,,"218,800"
NATCHITOCHES,,,"218,800",,,"218,800"
LA,,,"218,800",,,"218,800"
38008,,,"218,099",,,"218,099"
BOLIVAR,,,"218,099",,,"218,099"
TN,,,"218,099",,,"218,099"
60623,,,,"217,347",,"217,347"
CHICAGO,,,,"217,347",,"217,347"
IL,,,,"217,347",,"217,347"
77389,,,,"216,482",,"216,482"
SPRING,,,,"216,482",,"216,482"
TX,,,,"216,482",,"216,482"
70003,"2,949",,"177,814",,"35,246","216,009"
METAIRIE,"2,949",,"177,814",,"35,246","216,009"
LA,"2,949",,"177,814",,"35,246","216,009"
30707,,,,"215,733",,"215,733"
CHICKAMAUGA,,,,"215,733",,"215,733"
GA,,,,"215,733",,"215,733"
60435,,,,"215,572",,"215,572"
JOLIET,,,,"215,572",,"215,572"
IL,,,,"215,572",,"215,572"
47421,,,"212,894",,,"212,894"
BEDFORD,,,"212,894",,,"212,894"
IN,,,"212,894",,,"212,894"
46953,"201,476",,,"10,187",,"211,663"
MARION,"201,476",,,"10,187",,"211,663"
IN,"201,476",,,"10,187",,"211,663"
85364,"211,406",,,,,"211,406"
YUMA,"211,406",,,,,"211,406"
AZ,"211,406",,,,,"211,406"
76002,,,,,"210,591","210,591"
ARLINGTON,,,,,"210,591","210,591"
TX,,,,,"210,591","210,591"
63130,"208,755",,,,,"208,755"
SAINT LOUIS,"208,755",,,,,"208,755"
MO,"208,755",,,,,"208,755"
53211,,,"207,718",,,"207,718"
SHOREWOOD,,,"207,718",,,"207,718"
WI,,,"207,718",,,"207,718"
34741,,"207,058",,,,"207,058"
KISSIMMEE,,"207,058",,,,"207,058"
FL,,"207,058",,,,"207,058"
35096,"206,250",,,,,"206,250"
LINCOLN,"206,250",,,,,"206,250"
AL,"206,250",,,,,"206,250"
70118,"115,000","6,051","62,795","16,474",,"200,320"
NEW ORLEANS,"115,000","6,051","62,795","16,474",,"200,320"
LA,"115,000","6,051","62,795","16,474",,"200,320"
87514,,,,"200,000",,"200,000"
ARROYO SECO,,,,"200,000",,"200,000"
NM,,,,"200,000",,"200,000"
33496,"200,000",,,,,"200,000"
BOCA RATON,"200,000",,,,,"200,000"
FL,"200,000",,,,,"200,000"
34241,,,,,"199,082","199,082"
SARASOTA,,,,,"199,082","199,082"
FL,,,,,"199,082","199,082"
70668,,,,"198,441",,"198,441"
VINTON,,,,"198,441",,"198,441"
LA,,,,"198,441",,"198,441"
82055,,,,"197,500",,"197,500"
CENTENNIAL,,,,"197,500",,"197,500"
WY,,,,"197,500",,"197,500"
85032,,,,"196,915",,"196,915"
PHOENIX,,,,"196,915",,"196,915"
AZ,,,,"196,915",,"196,915"
36605,"130,398",,"1,069","65,000",,"196,467"
MOBILE,"130,398",,"1,069","65,000",,"196,467"
AL,"130,398",,"1,069","65,000",,"196,467"
33905,"195,400",,,,,"195,400"
FORT MYERS,"195,400",,,,,"195,400"
FL,"195,400",,,,,"195,400"
53209,,,,,"195,255","195,255"
MILWAUKEE,,,,,"195,255","195,255"
WI,,,,,"195,255","195,255"
82070,,,,"193,727",,"193,727"
LARAMIE,,,,"193,727",,"193,727"
WY,,,,"193,727",,"193,727"
39047,,"193,693",,,,"193,693"
BRANDON,,"193,693",,,,"193,693"
MS,,"193,693",,,,"193,693"
8260,"62,953",,,"130,000",,"192,953"
WEST WILDWOOD,"47,580",,,,,"47,580"
NJ,"47,580",,,,,"47,580"
WILDWOOD,"15,373",,,"130,000",,"145,373"
NJ,"15,373",,,"130,000",,"145,373"
36301,,"191,959",,,,"191,959"
DOTHAN,,"191,959",,,,"191,959"
AL,,"191,959",,,,"191,959"
46254,,,"189,103",,,"189,103"
INDIANAPOLIS,,,"189,103",,,"189,103"
IN,,,"189,103",,,"189,103"
30240,,,,"188,874",,"188,874"
LAGRANGE,,,,"188,874",,"188,874"
GA,,,,"188,874",,"188,874"
29429,,,,"188,800",,"188,800"
AWENDAW,,,,"188,800",,"188,800"
SC,,,,"188,800",,"188,800"
10467,,,,,"188,309","188,309"
BRONX,,,,,"188,309","188,309"
NY,,,,,"188,309","188,309"
29405,,,,"188,019",,"188,019"
NORTH CHARLESTON,,,,"188,019",,"188,019"
SC,,,,"188,019",,"188,019"
25701,,"187,326",,,,"187,326"
HUNTINGTON,,"187,326",,,,"187,326"
WV,,"187,326",,,,"187,326"
75972,"1,826","185,374",,,,"187,200"
SAN AUGUSTINE,"1,826",,,,,"1,826"
TX,"1,826",,,,,"1,826"
"SAN AUGUSTINE,",,"185,374",,,,"185,374"
TX,,"185,374",,,,"185,374"
89101,,"185,882",,,,"185,882"
LAS VEGAS,,"185,882",,,,"185,882"
NV,,"185,882",,,,"185,882"
